,Company,Job type,State,date Posted,Part time/full time,Min salary,Max salary,Avg_salary,Posting_age_days,job_description
424,Royal Adam Resorts & Hotels,Bartender,Maharashtra,2024-03-16 00:00:00,Full Time,12000,13000,12500,407,"Bartender role in Maharashtra.
Average salary: $12,500."
425,Not mentioned,Bartender,Maharashtra,2024-03-16 00:00:00,Full Time,30000,31000,30500,407,"Bartender role in Maharashtra.
Average salary: $30,500."
426,Not mentioned,Beautician,Maharashtra,2024-03-16 00:00:00,Full Time,35000,40000,37500,407,"Beautician role in Maharashtra.
Average salary: $37,500."
427,Not mentioned,Beautician,Maharashtra,2024-03-16 00:00:00,Full Time,20000,25000,22500,407,"Beautician role in Maharashtra.
Average salary: $22,500."
428,Not mentioned,Beautician,Maharashtra,2024-03-16 00:00:00,Full Time,25000,45000,35000,407,"Beautician role in Maharashtra.
Average salary: $35,000."
429,Not mentioned,Beautician,Maharashtra,2024-03-16 00:00:00,Full Time,10000,12000,11000,407,"Beautician role in Maharashtra.
Average salary: $11,000."
430,Not mentioned,Beautician,Maharashtra,2024-03-16 00:00:00,Full Time,37500,43700,40600,407,"Beautician role in Maharashtra.
Average salary: $40,600."
431,Not mentioned,Bouncer,Maharashtra,2024-03-16 00:00:00,Full Time,25000,30000,27500,407,"Bouncer role in Maharashtra.
Average salary: $27,500."
432,quikr.com,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,12000,20000,16000,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $16,000."
433,Not mentioned,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,12000,25000,18500,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $18,500."
434,Private,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,25000,40000,32500,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $32,500."
435,MYEASYTAX Private Limited is taxation firm special,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,15000,20000,17500,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $17,500."
436,Hadwise Technologies,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,15000,16000,15500,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $15,500."
437,Synergy Global Services,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,17000,30000,23500,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $23,500."
438,MAID HIRE,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,20000,21000,20500,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $20,500."
439,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,10000,11000,10500,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $10,500."
440,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,16000,18000,17000,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $17,000."
441,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,16000,18000,17000,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $17,000."
442,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,15000,18000,16500,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $16,500."
443,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,15000,18000,16500,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $16,500."
444,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,20000,20000,20000,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $20,000."
445,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,20000,20000,20000,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $20,000."
446,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,16000,18000,17000,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $17,000."
447,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,16000,18000,17000,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $17,000."
448,box8,Bartender,Maharashtra,2024-03-16 00:00:00,Full Time,16000,27000,21500,407,"Bartender role in Maharashtra.
Average salary: $21,500."
449,NB Services India Pvt. Ltd,Bartender,Maharashtra,2024-03-16 00:00:00,Full Time,15000,20000,17500,407,"Bartender role in Maharashtra.
Average salary: $17,500."
450,Subway,Bartender,Maharashtra,2024-03-16 00:00:00,Full Time,11000,12000,11500,407,"Bartender role in Maharashtra.
Average salary: $11,500."
451,Not mentioned,Beautician,Maharashtra,2024-03-16 00:00:00,Full Time,25000,40000,32500,407,"Beautician role in Maharashtra.
Average salary: $32,500."
452,Not mentioned,Beautician,Maharashtra,2024-03-16 00:00:00,Full Time,25000,50000,37500,407,"Beautician role in Maharashtra.
Average salary: $37,500."
453,Not mentioned,Beautician,Maharashtra,2024-03-16 00:00:00,Full Time,25000,50000,37500,407,"Beautician role in Maharashtra.
Average salary: $37,500."
454,Not mentioned,Bouncer,Maharashtra,2024-03-16 00:00:00,Full Time,18081,18831,18456,407,"Bouncer role in Maharashtra.
Average salary: $18,456."
455,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,28000,50000,39000,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $39,000."
456,Sistema.bio,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,15000,16000,15500,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $15,500."
457,Not mentioned,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,17000,49000,33000,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $33,000."
458,self,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,12000,20000,16000,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $16,000."
459,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,7500,10500,9000,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $9,000."
460,Daryaganj Restaurant,Bartender,Haryana,2024-03-16 00:00:00,Full Time,20000,23000,21500,407,"Bartender role in Haryana.
Average salary: $21,500."
461,CYK Hospitalities Pvt. Ltd.,Bartender,Haryana,2024-03-16 00:00:00,Full Time,10000,18000,14000,407,"Bartender role in Haryana.
Average salary: $14,000."
462,Duarz,Bartender,Haryana,2024-03-16 00:00:00,Full Time,12000,16000,14000,407,"Bartender role in Haryana.
Average salary: $14,000."
463,Not mentioned,Beautician,Haryana,2024-03-16 00:00:00,Full Time,1000,10000,5500,407,"Beautician role in Haryana.
Average salary: $5,500."
464,Not mentioned,Beautician,Haryana,2024-03-16 00:00:00,Full Time,20000,50000,35000,407,"Beautician role in Haryana.
Average salary: $35,000."
465,ATR TECHNOLOGIES,Beautician,Haryana,2024-03-16 00:00:00,Full Time,12000,19000,15500,407,"Beautician role in Haryana.
Average salary: $15,500."
466,Not mentioned,Beautician,Haryana,2024-03-16 00:00:00,Full Time,64000,65000,64500,407,"Beautician role in Haryana.
Average salary: $64,500."
467,Not mentioned,Beautician,Haryana,2024-03-16 00:00:00,Full Time,70000,100000,85000,407,"Beautician role in Haryana.
Average salary: $85,000."
468,Not mentioned,Beautician,Haryana,2024-03-16 00:00:00,Full Time,14000,19000,16500,407,"Beautician role in Haryana.
Average salary: $16,500."
469,Not mentioned,Beautician,Haryana,2024-03-16 00:00:00,Full Time,8000,10000,9000,407,"Beautician role in Haryana.
Average salary: $9,000."
470,Not mentioned,Bouncer,Haryana,2024-03-16 00:00:00,Full Time,18081,18831,18456,407,"Bouncer role in Haryana.
Average salary: $18,456."
471,Thriving Tallent,BPO/ Telecaller,Haryana,2024-03-16 00:00:00,Full Time,15000,35000,25000,407,"BPO/ Telecaller role in Haryana.
Average salary: $25,000."
472,Not mentioned,BPO/ Telecaller,Haryana,2024-03-16 00:00:00,Full Time,9000,11000,10000,407,"BPO/ Telecaller role in Haryana.
Average salary: $10,000."
473,Eaxillae Solutions Pvt. Ltd,BPO/ Telecaller,Haryana,2024-03-16 00:00:00,Full Time,15000,20000,17500,407,"BPO/ Telecaller role in Haryana.
Average salary: $17,500."
474,Not mentioned,BPO/ Telecaller,Haryana,2024-03-16 00:00:00,Full Time,18000,19000,18500,407,"BPO/ Telecaller role in Haryana.
Average salary: $18,500."
475,Ashwini Gowda,BPO/ Telecaller,Haryana,2024-03-16 00:00:00,Full Time,20000,50000,35000,407,"BPO/ Telecaller role in Haryana.
Average salary: $35,000."
476,Dhanush Consultancy,BPO/ Telecaller,Haryana,2024-03-16 00:00:00,Full Time,40000,45000,42500,407,"BPO/ Telecaller role in Haryana.
Average salary: $42,500."
477,INDIVIDUAL,Caretaker/Nanny,Haryana,2024-03-16 00:00:00,Full Time,10000,11000,10500,407,"Caretaker/Nanny role in Haryana.
Average salary: $10,500."
478,subh,Caretaker/Nanny,Haryana,2024-03-16 00:00:00,Full Time,19500,20500,20000,407,"Caretaker/Nanny role in Haryana.
Average salary: $20,000."
479,hema,Caretaker/Nanny,Haryana,2024-03-16 00:00:00,Full Time,15000,20000,17500,407,"Caretaker/Nanny role in Haryana.
Average salary: $17,500."
480,tina,Caretaker/Nanny,Haryana,2024-03-16 00:00:00,Full Time,19500,20500,20000,407,"Caretaker/Nanny role in Haryana.
Average salary: $20,000."
481,Not mentioned,Caretaker/Nanny,Haryana,2024-03-16 00:00:00,Full Time,6000,7000,6500,407,"Caretaker/Nanny role in Haryana.
Average salary: $6,500."
482,Not mentioned,Caretaker/Nanny,Haryana,2024-03-16 00:00:00,Full Time,8000,10000,9000,407,"Caretaker/Nanny role in Haryana.
Average salary: $9,000."
483,Not mentioned,Bartender,Rajasthan,2024-03-16 00:00:00,Full Time,18000,25000,21500,407,"Bartender role in Rajasthan.
Average salary: $21,500."
484,Not mentioned,Beautician,Rajasthan,2024-03-16 00:00:00,Full Time,25000,45000,35000,407,"Beautician role in Rajasthan.
Average salary: $35,000."
485,Not mentioned,Beautician,Rajasthan,2024-03-16 00:00:00,Full Time,20000,60000,40000,407,"Beautician role in Rajasthan.
Average salary: $40,000."
486,Not mentioned,Beautician,Rajasthan,2024-03-16 00:00:00,Full Time,35500,40500,38000,407,"Beautician role in Rajasthan.
Average salary: $38,000."
487,Not mentioned,Beautician,Rajasthan,2024-03-16 00:00:00,Full Time,36000,40000,38000,407,"Beautician role in Rajasthan.
Average salary: $38,000."
488,Not mentioned,Beautician,Rajasthan,2024-03-16 00:00:00,Full Time,18000,25000,21500,407,"Beautician role in Rajasthan.
Average salary: $21,500."
489,Not mentioned,Beautician,Rajasthan,2024-03-16 00:00:00,Full Time,36800,42700,39750,407,"Beautician role in Rajasthan.
Average salary: $39,750."
490,Not mentioned,Bouncer,Rajasthan,2024-03-16 00:00:00,Full Time,25000,26000,25500,407,"Bouncer role in Rajasthan.
Average salary: $25,500."
491,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,BPO/ Telecaller,Rajasthan,2024-03-16 00:00:00,Full Time,28000,50000,39000,407,"BPO/ Telecaller role in Rajasthan.
Average salary: $39,000."
492,Climax BPM,BPO/ Telecaller,Rajasthan,2024-03-16 00:00:00,Full Time,14000,20000,17000,407,"BPO/ Telecaller role in Rajasthan.
Average salary: $17,000."
493,Vishal Footwear,BPO/ Telecaller,Rajasthan,2024-03-16 00:00:00,Full Time,9000,20000,14500,407,"BPO/ Telecaller role in Rajasthan.
Average salary: $14,500."
494,Teleperformance,BPO/ Telecaller,Rajasthan,2024-03-16 00:00:00,Full Time,16000,38000,27000,407,"BPO/ Telecaller role in Rajasthan.
Average salary: $27,000."
495,TELSYS WEB INFOTECH PRIVATE LIMITED,BPO/ Telecaller,Rajasthan,2024-03-16 00:00:00,Full Time,12000,20000,16000,407,"BPO/ Telecaller role in Rajasthan.
Average salary: $16,000."
496,Not mentioned,BPO/ Telecaller,Rajasthan,2024-03-16 00:00:00,Full Time,28000,50000,39000,407,"BPO/ Telecaller role in Rajasthan.
Average salary: $39,000."
497,Not mentioned,Caretaker/Nanny,Rajasthan,2024-03-16 00:00:00,Full Time,20000,40000,30000,407,"Caretaker/Nanny role in Rajasthan.
Average salary: $30,000."
498,The Cherry Tree,Bartender,Uttar Pradesh,2024-03-16 00:00:00,Full Time,10500,11500,11000,407,"Bartender role in Uttar Pradesh.
Average salary: $11,000."
499,The Cherry Tree,Bartender,Uttar Pradesh,2024-03-16 00:00:00,Full Time,9000,11000,10000,407,"Bartender role in Uttar Pradesh.
Average salary: $10,000."
500,The Cherry Tree,Bartender,Uttar Pradesh,2024-03-16 00:00:00,Full Time,10000,11000,10500,407,"Bartender role in Uttar Pradesh.
Average salary: $10,500."
501,Not mentioned,Beautician,Uttar Pradesh,2024-03-16 00:00:00,Full Time,35000,36000,35500,407,"Beautician role in Uttar Pradesh.
Average salary: $35,500."
502,Not mentioned,Beautician,Uttar Pradesh,2024-03-16 00:00:00,Full Time,45000,46000,45500,407,"Beautician role in Uttar Pradesh.
Average salary: $45,500."
503,Not mentioned,Beautician,Uttar Pradesh,2024-03-16 00:00:00,Full Time,62000,63000,62500,407,"Beautician role in Uttar Pradesh.
Average salary: $62,500."
504,Not mentioned,Beautician,Uttar Pradesh,2024-03-16 00:00:00,Full Time,38400,42600,40500,407,"Beautician role in Uttar Pradesh.
Average salary: $40,500."
505,Not mentioned,Beautician,Uttar Pradesh,2024-03-16 00:00:00,Full Time,38000,39000,38500,407,"Beautician role in Uttar Pradesh.
Average salary: $38,500."
506,Not mentioned,Beautician,Uttar Pradesh,2024-03-16 00:00:00,Full Time,45000,46000,45500,407,"Beautician role in Uttar Pradesh.
Average salary: $45,500."
507,Not mentioned,Beautician,Uttar Pradesh,2024-03-16 00:00:00,Full Time,30000,31000,30500,407,"Beautician role in Uttar Pradesh.
Average salary: $30,500."
508,Not mentioned,Bouncer,Uttar Pradesh,2024-03-16 00:00:00,Full Time,8000,8500,8250,407,"Bouncer role in Uttar Pradesh.
Average salary: $8,250."
509,Not mentioned,Bouncer,Uttar Pradesh,2024-03-16 00:00:00,Full Time,12000,14000,13000,407,"Bouncer role in Uttar Pradesh.
Average salary: $13,000."
510,Not mentioned,Bouncer,Uttar Pradesh,2024-03-16 00:00:00,Full Time,10000,12000,11000,407,"Bouncer role in Uttar Pradesh.
Average salary: $11,000."
511,Not mentioned,Bouncer,Uttar Pradesh,2024-03-16 00:00:00,Full Time,9500,18000,13750,407,"Bouncer role in Uttar Pradesh.
Average salary: $13,750."
512,Not mentioned,Bouncer,Uttar Pradesh,2024-03-16 00:00:00,Full Time,10000,22000,16000,407,"Bouncer role in Uttar Pradesh.
Average salary: $16,000."
513,UNIVERSE ENTERPRISES,BPO/ Telecaller,Uttar Pradesh,2024-03-16 00:00:00,Full Time,12000,19500,15750,407,"BPO/ Telecaller role in Uttar Pradesh.
Average salary: $15,750."
514,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,BPO/ Telecaller,Uttar Pradesh,2024-03-16 00:00:00,Full Time,28000,50000,39000,407,"BPO/ Telecaller role in Uttar Pradesh.
Average salary: $39,000."
515,Not mentioned,BPO/ Telecaller,Uttar Pradesh,2024-03-16 00:00:00,Full Time,10000,15000,12500,407,"BPO/ Telecaller role in Uttar Pradesh.
Average salary: $12,500."
516,Jai enterprises,BPO/ Telecaller,Uttar Pradesh,2024-03-16 00:00:00,Full Time,2000,3000,2500,407,"BPO/ Telecaller role in Uttar Pradesh.
Average salary: $2,500."
517,Not mentioned,BPO/ Telecaller,Uttar Pradesh,2024-03-16 00:00:00,Full Time,8000,10000,9000,407,"BPO/ Telecaller role in Uttar Pradesh.
Average salary: $9,000."
518,FINANCIIO SOLUTIONS PVT.LTD.,BPO/ Telecaller,Uttar Pradesh,2024-03-16 00:00:00,Full Time,13000,15000,14000,407,"BPO/ Telecaller role in Uttar Pradesh.
Average salary: $14,000."
519,Not mentioned,Caretaker/Nanny,Uttar Pradesh,2024-03-16 00:00:00,Full Time,5000,5500,5250,407,"Caretaker/Nanny role in Uttar Pradesh.
Average salary: $5,250."
520,Not mentioned,Caretaker/Nanny,Uttar Pradesh,2024-03-16 00:00:00,Full Time,12000,16000,14000,407,"Caretaker/Nanny role in Uttar Pradesh.
Average salary: $14,000."
521,Not mentioned,Caretaker/Nanny,Uttar Pradesh,2024-03-16 00:00:00,Full Time,12000,18000,15000,407,"Caretaker/Nanny role in Uttar Pradesh.
Average salary: $15,000."
522,Not mentioned,Caretaker/Nanny,Uttar Pradesh,2024-03-16 00:00:00,Full Time,5000,10000,7500,407,"Caretaker/Nanny role in Uttar Pradesh.
Average salary: $7,500."
523,Not mentioned,Caretaker/Nanny,Uttar Pradesh,2024-03-16 00:00:00,Full Time,5000,8000,6500,407,"Caretaker/Nanny role in Uttar Pradesh.
Average salary: $6,500."
524,Not mentioned,Caretaker/Nanny,Uttar Pradesh,2024-03-16 00:00:00,Full Time,5000,5500,5250,407,"Caretaker/Nanny role in Uttar Pradesh.
Average salary: $5,250."
525,Noida International Airport Services,Bartender,Uttar Pradesh,2024-03-16 00:00:00,Full Time,25000,35000,30000,407,"Bartender role in Uttar Pradesh.
Average salary: $30,000."
526,Noida International Airport Services,Bartender,Uttar Pradesh,2024-03-16 00:00:00,Full Time,25000,35000,30000,407,"Bartender role in Uttar Pradesh.
Average salary: $30,000."
527,Not mentioned,Beautician,Uttar Pradesh,2024-03-16 00:00:00,Full Time,10000,15000,12500,407,"Beautician role in Uttar Pradesh.
Average salary: $12,500."
528,Not mentioned,Beautician,Uttar Pradesh,2024-03-16 00:00:00,Full Time,6000,20000,13000,407,"Beautician role in Uttar Pradesh.
Average salary: $13,000."
529,Not mentioned,Beautician,Uttar Pradesh,2024-03-16 00:00:00,Full Time,86000,87000,86500,407,"Beautician role in Uttar Pradesh.
Average salary: $86,500."
530,Not mentioned,Beautician,Uttar Pradesh,2024-03-16 00:00:00,Full Time,15000,20000,17500,407,"Beautician role in Uttar Pradesh.
Average salary: $17,500."
531,Not mentioned,Bouncer,Uttar Pradesh,2024-03-16 00:00:00,Full Time,18000,25000,21500,407,"Bouncer role in Uttar Pradesh.
Average salary: $21,500."
532,WINSPARK INNOVATIONS LEARNING PRIVATE LIMITED,BPO/ Telecaller,Uttar Pradesh,2024-03-16 00:00:00,Full Time,28000,50000,39000,407,"BPO/ Telecaller role in Uttar Pradesh.
Average salary: $39,000."
533,Not mentioned,BPO/ Telecaller,Uttar Pradesh,2024-03-16 00:00:00,Full Time,15000,18000,16500,407,"BPO/ Telecaller role in Uttar Pradesh.
Average salary: $16,500."
534,Not mentioned,BPO/ Telecaller,Uttar Pradesh,2024-03-16 00:00:00,Full Time,15000,18000,16500,407,"BPO/ Telecaller role in Uttar Pradesh.
Average salary: $16,500."
535,Tumbledry solution pvt lmt,BPO/ Telecaller,Uttar Pradesh,2024-03-16 00:00:00,Full Time,17000,21000,19000,407,"BPO/ Telecaller role in Uttar Pradesh.
Average salary: $19,000."
536,Not mentioned,BPO/ Telecaller,Uttar Pradesh,2024-03-16 00:00:00,Full Time,17000,21000,19000,407,"BPO/ Telecaller role in Uttar Pradesh.
Average salary: $19,000."
537,Mahagun Mirabella Society,Caretaker/Nanny,Uttar Pradesh,2024-03-16 00:00:00,Full Time,12000,13000,12500,407,"Caretaker/Nanny role in Uttar Pradesh.
Average salary: $12,500."
538,gokuldham society,Caretaker/Nanny,Uttar Pradesh,2024-03-16 00:00:00,Full Time,5000,9000,7000,407,"Caretaker/Nanny role in Uttar Pradesh.
Average salary: $7,000."
539,Not mentioned,Caretaker/Nanny,Uttar Pradesh,2024-03-16 00:00:00,Full Time,18000,19000,18500,407,"Caretaker/Nanny role in Uttar Pradesh.
Average salary: $18,500."
540,Not mentioned,Bartender,Maharashtra,2024-03-16 00:00:00,Full Time,37974,38724,38349,407,"Bartender role in Maharashtra.
Average salary: $38,349."
541,Blue Diamond SPA,Beautician,Maharashtra,2024-03-16 00:00:00,Full Time,35000,46000,40500,407,"Beautician role in Maharashtra.
Average salary: $40,500."
542,Not mentioned,Beautician,Maharashtra,2024-03-16 00:00:00,Full Time,40000,50000,45000,407,"Beautician role in Maharashtra.
Average salary: $45,000."
543,NAINA'S SPA AND SALON,Beautician,Maharashtra,2024-03-16 00:00:00,Full Time,11000,12000,11500,407,"Beautician role in Maharashtra.
Average salary: $11,500."
544,Pooja Beauty Parlor,Beautician,Maharashtra,2024-03-16 00:00:00,Full Time,7000,8000,7500,407,"Beautician role in Maharashtra.
Average salary: $7,500."
545,Not mentioned,Beautician,Maharashtra,2024-03-16 00:00:00,Full Time,10000,15000,12500,407,"Beautician role in Maharashtra.
Average salary: $12,500."
546,Not mentioned,Bouncer,Maharashtra,2024-03-16 00:00:00,Full Time,18000,22000,20000,407,"Bouncer role in Maharashtra.
Average salary: $20,000."
547,InteleCorp Software Pvt Ltd,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,15000,35000,25000,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $25,000."
548,Not mentioned,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,12000,15000,13500,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $13,500."
549,1Point1,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,15000,16000,15500,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $15,500."
550,Visal Business Solutions,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,12000,15000,13500,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $13,500."
551,Home First,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,19500,19500,19500,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $19,500."
552,vizhve8 HR Services,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,15000,22000,18500,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $18,500."
553,Not mentioned,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,18000,20000,19000,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $19,000."
554,AJ IMMIGRATION CONSULTANTS INC,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,20000,25000,22500,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $22,500."
555,YES CLASSES,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,10000,15000,12500,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $12,500."
556,1Point Solutions,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,15000,16000,15500,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $15,500."
557,Link Talent And Management Services,BPO/ Telecaller,Maharashtra,2024-03-16 00:00:00,Full Time,15000,27000,21000,407,"BPO/ Telecaller role in Maharashtra.
Average salary: $21,000."
558,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,18000,35000,26500,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $26,500."
559,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,16000,18000,17000,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $17,000."
560,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,16000,18000,17000,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $17,000."
561,Mumbai Services,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,24000,25000,24500,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $24,500."
562,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,20000,20000,20000,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $20,000."
563,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,20000,20000,20000,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $20,000."
564,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,15000,18000,16500,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $16,500."
565,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,15000,18000,16500,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $16,500."
566,MAID HIRE,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,17000,18000,17500,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $17,500."
567,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,20000,21000,20500,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $20,500."
568,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,16000,18000,17000,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $17,000."
569,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,16000,18000,17000,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $17,000."
570,MAID HIRE,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,18000,19000,18500,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $18,500."
571,Not mentioned,Caretaker/Nanny,Maharashtra,2024-03-16 00:00:00,Full Time,15000,16000,15500,407,"Caretaker/Nanny role in Maharashtra.
Average salary: $15,500."
572,Not mentioned,Bartender,Kerala,2024-03-16 00:00:00,Full Time,37974,38724,38349,407,"Bartender role in Kerala.
Average salary: $38,349."
573,Not mentioned,Beautician,Kerala,2024-03-16 00:00:00,Full Time,22000,24000,23000,407,"Beautician role in Kerala.
Average salary: $23,000."
574,Not mentioned,Beautician,Kerala,2024-03-16 00:00:00,Full Time,5000,15000,10000,407,"Beautician role in Kerala.
Average salary: $10,000."
575,Candle,Beautician,Kerala,2024-03-16 00:00:00,Full Time,30000,80000,55000,407,"Beautician role in Kerala.
Average salary: $55,000."
576,Not mentioned,Beautician,Kerala,2024-03-16 00:00:00,Full Time,30000,40000,35000,407,"Beautician role in Kerala.
Average salary: $35,000."
577,Not mentioned,Beautician,Kerala,2024-03-16 00:00:00,Full Time,18000,25000,21500,407,"Beautician role in Kerala.
Average salary: $21,500."
578,Not mentioned,Beautician,Kerala,2024-03-16 00:00:00,Full Time,20000,30000,25000,407,"Beautician role in Kerala.
Average salary: $25,000."
579,Not mentioned,Beautician,Kerala,2024-03-16 00:00:00,Full Time,18000,25000,21500,407,"Beautician role in Kerala.
Average salary: $21,500."
580,Not mentioned,Beautician,Kerala,2024-03-16 00:00:00,Full Time,20000,50000,35000,407,"Beautician role in Kerala.
Average salary: $35,000."
581,Not mentioned,Beautician,Kerala,2024-03-16 00:00:00,Full Time,15000,20000,17500,407,"Beautician role in Kerala.
Average salary: $17,500."
582,Not mentioned,Beautician,Kerala,2024-03-16 00:00:00,Full Time,30000,50000,40000,407,"Beautician role in Kerala.
Average salary: $40,000."
583,Not mentioned,Bouncer,Kerala,2024-03-16 00:00:00,Full Time,18081,18831,18456,407,"Bouncer role in Kerala.
Average salary: $18,456."
584,Not mentioned,BPO/ Telecaller,Kerala,2024-03-16 00:00:00,Full Time,6000,8000,7000,407,"BPO/ Telecaller role in Kerala.
Average salary: $7,000."
585,Pepperfry.com,BPO/ Telecaller,Kerala,2024-03-16 00:00:00,Full Time,13000,15000,14000,407,"BPO/ Telecaller role in Kerala.
Average salary: $14,000."
586,Quess corp,BPO/ Telecaller,Kerala,2024-03-16 00:00:00,Full Time,10500,11000,10750,407,"BPO/ Telecaller role in Kerala.
Average salary: $10,750."
587,Not mentioned,BPO/ Telecaller,Kerala,2024-03-16 00:00:00,Full Time,18000,25000,21500,407,"BPO/ Telecaller role in Kerala.
Average salary: $21,500."
